'2BC11';41.833333;9.375
'2AC16';41.75;9.1
'2AC16';41.75;9.1
'2AC19';41.533333;9.2
'2AC15';41.883333;9.05
'2AC15';41.9;9.133333
'2AC19';41.733333;9.166667
'2BC10';42.1;9.4
'2BC05';42.4;9.233333
'2BC08';42.3;9.283333
'2BC08';42.316667;8.983333
'2BC04';42.616667;8.866667
'2BC08';0;0
'2BC10';42.25;9.35
'2BC05';42.45;9.033333
'2BC04';42.566667;8.9
'2BC04';42.583333;9.016667
'2BC02';42.533333;9.283333
'2BC05';42.466667;9.316667
'2BC07';42.5;8.85
'2BC07';42.566667;8.75
'2BC06';42.383333;9.35
'2BC10';42.283333;9.466667
'2BC06';42.45;9.366667
'2BC06';42.433333;9.416667
'2BC08';42.25;9.166667
'2BC06';42.466667;9.466667
'2BC08';42.366667;9.15
'2BC09';42.333333;9.483333
'2BC11';41.916667;9.266667
'2BC09';42.35;9.416667
'2BC07';42.4;8.65
'2BC11';42.1;9.216667
'2BC11';42;9.283333
'2BC04';42.766667;9.466667
'2BC08';42.166667;9.183333
'2BC08';42.15;9.266667
'2BC08';42.233333;9.166667
'2BC04';42.566667;8.983333
'02500';49.883333;4.2165
'02120';49.85;3.65
'02250';49.7;3.8
'02580';49.9;3.85
'02170';50.033333;3.75
'02450';50.033333;3.716667
'02620';49.966667;3.833333
'02260';49.983333;3.983333
'02510';49.983333;3.65
'02230';49.95;3.416667
'02630';49.983333;3.55
'02390';49.833333;3.483333
'02550';49.9;4.016667
'02830';49.916667;4.133333
'02300';49.6;3.183333
'02290';49.383333;3.183333
'02200';49.366667;3.333333
'02670';49.533333;3.25
'02880';49.433333;3.3
'02600';49.333333;3.15
'02370';0;0
'02130';49.25;3.466667
'02210';49.183333;3.383333
'02330';48.933333;3.55
'02220';49.333333;3.516667
'02400';49;3.366667
'02850';49.083333;3.55
'02310';49.016667;3.233333
'02810';49.1;3.15
'02570';48.983333;3.366667
'02650';49.05;3.5
'02470';49.15;3.2
'02540';48.916667;3.483333
'02460';49.166667;3.116667
'03460';46.683333;3.166667
'03000';46.583333;3.3
'03130';46.333333;3.983333
'03230';46.6;3.666667
'03340';46.433333;3.366667
'03510';46.45;3.983333
'03220';46.383333;3.65
'03470';46.483333;3.866667
'03290';46.533333;3.75
'03400';0;0
'03380';46.383333;2.416667
'03420';46.233333;2.683333
'03370';46.416667;2.416667
'03170';46.333333;2.7
'03600';46.266667;2.8
'03630';46.35;2.616667
'03410';46.35;2.533333
'03310';46.25;2.7
'03100';46.333333;2.6
'03190';46.425;2.6
'03210';46.6;3.15
'03360';46.716667;2.7
'03140';46.216667;3.25
'03500';46.25;3.266667
'03390';46.283333;2.883333
'03800';46.133333;3.15
'03330';46.2;3.083333
'03260';46.233333;3.433333
'03150';46.316667;3.483333
'03160';46.583333;3.05
'03440';46.466667;2.966667
'03350';46.616667;2.833333
'03320';46.766667;3.033333
'03450';46.133333;3
'03430';46.466667;2.833333
'03240';46.45;3.166667
'03200';46.1;3.433333
'03120';46.25;3.75
'03250';46.066667;3.566667
'03700';46.116667;3.4
'03300';0;0
'03110';46.183333;3.283333
'03270';46.066667;3.516667
'42620';46.2;3.783333
'04510';44.066667;6.133333
'04170';43.966667;6.6
'04C02';44.233333;6.633333
'04240';43.966667;6.666667
'04420';44.116667;6.333333
'04200';44.133333;5.966667
'04C06';44.1;6.116667
'04330';43.95;6.366667
'04C02';44.15;6.6
'04270';43.983333;6.233333
'04210';43.9;6.033333
